RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
4110,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
4454,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
10319,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
4038,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
3857,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
4747,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
14263,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
3448,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
3917,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
5574,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
