RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
4096,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3600,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
5131,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3857,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3350,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
5361,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
8243,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
34016,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
6984,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
21719,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
60972,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
43972,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3090,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
6088,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
41625,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
4650,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
2673,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
2712,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
2726,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
12988,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
5095,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
9551,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
17224,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
4523,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
4062,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
25783,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
9567,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
