RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
3443,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2297,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
4191,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2552,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2139,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2407,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2424,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2558,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2537,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
3554,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
3176,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2363,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
5762,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2064,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
3023,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
3547,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2849,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,1,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2139,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2386,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2213,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2480,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2364,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
1794,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2682,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2125,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
