RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3269,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
4861,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3012,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
2850,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
2933,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3327,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
4798,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
4422,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
4742,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
2692,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3588,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3859,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
2908,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
2515,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3566,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
5184,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
2611,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3084,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
2395,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
2574,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
