RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
2449,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
2426,E_F_Dawn_Roma(4).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
3065,E_F_Julie_Walters(20).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
2148,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
2294,E_M_Simon_Pegg(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
4419,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
6358,E_M_Peter_Kay(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
file,isFamiliar,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
P_M_david_camer(14).png,1,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
P_M_Tony_Blair.png,1,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
E_M_Simon_Pegg(8).png,1,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
P_M_Sajid_Javid(4).png,0,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
E_M_Michael_McIntyr(8).png,1,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
P_F_Theresa_May(3).png,1,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
P_M_nigel_farage(5).png,1,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
P_M_keir_starmer(6).png,0,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
P_M_Michael_Gove(9).png,0,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
E_F_Julie_Walters(20).png,0,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
P_F_nicola_sturge(10).png,0,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
E_M_Jimmy_Carr(5).png,1,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
P_M_Gordon_Brown(19).png,0,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
E_M_Peter_Kay(3).png,0,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
E_F_Dawn_Roma(4).png,0,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
E_F_Sarah_Millican(1).png,0,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
E_M_Ewan_McGregor(3).png,1,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
E_M_Russell_Howard(10).png,0,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
P_M_jeremy_corbyn(2).png,0,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
E_F_Jennifer_Saunders.png,0,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
age: 31,gender: Female,handedness: right,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
