RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
4779,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
3033,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
5531,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
2013,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
2430,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
2014,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
4237,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
9202,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
5173,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
1917,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
1827,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
5098,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
2526,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
3979,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
2386,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
1745,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
3238,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
14683,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
