RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2100,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2589,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2359,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2377,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
1893,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2630,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2363,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2549,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2095,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2414,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
4311,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
18943,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2600,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
