RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2077,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1589,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1988,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2447,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2125,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2690,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1646,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1562,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1901,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
3015,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1874,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2051,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2438,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
