RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
4706,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
78057,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
23708,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
16348,E_F_Kate_Winslet.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
1575,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
2284,E_M_Martin_Freeman.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
2714,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
3100,P_F_hillary_clinton.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
8844,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
7494,E_F_sandra_bullock.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
7046,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
