RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2663,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2583,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
4052,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
5812,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
3786,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2501,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2524,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2509,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2454,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
3650,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2443,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2552,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
3370,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2272,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2531,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
3878,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2241,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2606,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2447,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2187,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2785,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2239,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
3527,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2281,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2881,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2470,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2475,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2545,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
4272,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2620,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
