RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1710,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1859,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1555,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1460,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1404,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1626,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1487,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1375,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1408,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1485,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1655,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1409,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1795,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1951,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
2625,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
