RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
3632,E_ornaBanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
4681,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
7670,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,1,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
3567,E_shaniCo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
4972,E_harLev.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
2463,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
3249,E_ivri.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
8955,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
2979,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
2662,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
3626,E_alfi.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
6201,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
3545,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
3722,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,1,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
2723,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
3446,E_yanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
