RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1748,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1812,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
2246,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
2176,E_katorza.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1687,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1497,P_yehimovitz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1623,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1612,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
2018,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1687,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1676,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
4930,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
2469,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
3143,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
12150,E_shaharHasson.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
