RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
3312,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
3257,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
15692,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
12286,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
6579,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
3026,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
4673,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
3930,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
3737,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
4063,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
3727,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
2994,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
2924,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
3097,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
2802,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
3173,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
