RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
10652,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3712,E_rita.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
5258,E_harLev.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
10042,E_moniMo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4095,P_benet.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
5353,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3803,E_katorza.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3861,E_rita.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
5093,E_katorza.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3938,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
12990,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3752,E_ornaBanai.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
2663,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
2522,E_harLev.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4809,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
5583,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4489,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
6064,E_ornaBanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4274,E_yanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3345,E_alfi.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
7195,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
2884,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
6395,E_katorza.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
5279,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4146,E_katorza.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
5922,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
14782,P_michaeli.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
5212,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
5611,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
6241,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4281,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4787,E_ivri.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4346,E_alfi.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3325,P_yehimovitz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
5512,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
6693,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
7802,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,1,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
2795,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
5096,E_shaniCo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
