RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3451,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,2,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3163,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
1908,E_shaniCo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3068,E_harLev.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,2,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2621,E_rita.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2469,E_harLev.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
6980,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
4034,E_ivri.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2801,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2788,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
