RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
4014,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
1875,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
1917,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
2763,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
2834,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
2366,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
1231,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
3294,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
4375,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
2177,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
1467,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
3171,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
1315,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
